phone,price,title,sub_title,km,marque,location,capacite,annee,link_car,modele
733,23 500,Renault Clio II,Sport 2.0 182 Km* Ragnotti *,59 000 km,Renault,"Żabno, tarnowski, Małopolskie",2 000 cm3,2003,https://www.otomoto.pl/oferta/renault-clio-sport-2-0-182-km-ragnotti-ID6BztEK.html#4b96ca4051,Clio
604,64 200,Volkswagen Passat B8,,56 000 km,Volkswagen,"Swarzędz, poznański, Wielkopolskie",1 968 cm3,2015,https://www.otomoto.pl/oferta/volkswagen-passat-ID6BtWw5.html#4b96ca4051,Passat
426,113 900,Volkswagen Passat B8,"Var City 1.5TSI 150KM, Led, Kier. multi, Wyprzedaż Rocznika w ASO",1 km,Volkswagen,"Niciarniana 51/53 - 92-320 Łódź, Łódzkie (Polska)",1 498 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-passat-var-city-1-5tsi-150km-led-kier-multi-wyprzedaz-rocznika-w-aso-ID6BzaDG.html#4b96ca4051,Passat
426,141 500,Volkswagen Passat B8,"Var. High. 2.0TDI 150KM DSG, Kamera, Navi, Wyprzedaż Rocznika w ASO",1 km,Volkswagen,"Niciarniana 51/53 - 92-320 Łódź, Łódzkie (Polska)",1 968 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-passat-var-high-2-0tdi-150km-dsg-kamera-navi-wyprzedaz-rocznika-w-aso-ID6BtoMe.html#4b96ca4051,Passat
426,133 900,Volkswagen Passat B8,"Lim High 2.0TDI 150KM DSG, Kamera, Navi, Led, Wyprzedaż Rocznika w ASO",1 km,Volkswagen,"Niciarniana 51/53 - 92-320 Łódź, Łódzkie (Polska)",1 968 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-passat-lim-high-2-0tdi-150km-dsg-kamera-navi-led-wyprzedaz-rocznika-w-aso-ID6Bu4KW.html#4b96ca4051,Passat
426,116 900,Volkswagen Passat B8,"Lim City 2.0TDI 150KM DSG, Navi, Podgrz. fot, Wyprzedaż Rocznika w ASO",1 km,Volkswagen,"Niciarniana 51/53 - 92-320 Łódź, Łódzkie (Polska)",1 968 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-passat-lim-city-2-0tdi-150km-dsg-navi-podgrz-fot-wyprzedaz-rocznika-w-aso-ID6BtoGA.html#4b96ca4051,Passat
501,16 999,Dacia Duster,Laureate 1.5DCI Kima 110KM Alu 129tkm,129 000 km,Dacia,"Niegosławska 7 - 66-530 Drezdenko, strzelecko-drezdenecki, Lubuskie (Polska)",1 461 cm3,2012,https://www.otomoto.pl/oferta/dacia-duster-laureate-1-5dci-kima-110km-alu-129tkm-ID6Bydwq.html#4b96ca4051,Duster
515,325 000,Porsche Panamera,"GTS V8 440 km, bezwypad., pneumatyka, pierwszy wł., okazja!",92 000 km,Porsche,"Poznań, Wielkopolskie, Nowe Miasto",4 806 cm3,2014,https://www.otomoto.pl/oferta/porsche-panamera-gts-v8-440-km-bezwypad-pneumatyka-pierwszy-wl-okazja-ID6BqmNg.html#4b96ca4051,Panamera
222,229 000,Jeep Wrangler III,,1 km,Jeep,"Aleje Jerozolimskie - 00-001 Warszawa, Śródmieście (Polska)",1 995 cm3,2018,https://www.otomoto.pl/oferta/jeep-wrangler-ID6By7Is.html#4b96ca4051,Wrangler
426,72 900,Volkswagen Golf VII,"Var Trend 1.0TSI 115KM, Kier. multi, Alu, Wyprzedaż Rocznika w ASO",1 km,Volkswagen,"Niciarniana 51/53 - 92-320 Łódź, Łódzkie (Polska)",999 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-var-trend-1-0tsi-115km-kier-multi-alu-wyprzedaz-rocznika-w-aso-ID6BctMu.html#a1e7463c76,Golf
